EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 3963,MORON DE LA FRONTERA                    ,ES,+37:09:30,-005:36:57,  87
  423,SEVILLA/SAN PABLO                       ,ES,+37:25:00,-005:52:45,  34
  424,SORIA                                   ,ES,+41:46:30,-002:28:59,1082
 1401,REUS/AEROPUERTO                         ,ES,+41:08:59,+001:10:44,  71
 3964,CALAMOCHA                               ,ES,+40:55:34,-001:17:36, 890
 3965,CALAMOCHA-VOR                           ,ES,+40:51:55,-001:18:17, 932
 3966,TERUEL                                  ,ES,+40:20:59,-001:07:00, 900
 3967,TOLEDO                                  ,ES,+39:53:05,-004:02:58, 515
 3968,TOLEDO LORENZANA                        ,ES,+39:51:40,-004:01:25, 540
 3969,VALENCIA/AEROPUERTO                     ,ES,+39:29:12,-000:28:24,  69
  425,VALLADOLID                              ,ES,+41:39:00,-004:46:00, 735
 3970,VALLADOLID (VILLANUBLA)                 ,ES,+41:42:00,-004:51:00, 846
 1393,BILBAO AEROPUERTO                       ,ES,+43:17:53,-002:54:21,  42
 1399,ZAMORA                                  ,ES,+41:31:00,-005:44:01, 656
 3971,DAROCA                                  ,ES,+41:06:53,-001:24:39, 779
10904,LLEIDA-AJUNTAMENT                       ,ES,+41:36:59,+000:35:00, 169
10905,LLEIDA-ESCORXADOR                       ,ES,+41:36:49,+000:37:05, 162
 3930,GIRONA (ANTIC INSTITUT)                 ,ES,+41:58:48,+002:49:31,  95
11010,ALGUAIRE                                ,ES,+41:44:34,+000:32:09, 370
11011,AMPOSTA                                 ,ES,+40:42:28,+000:37:56,   3
11012,ANGLES                                  ,ES,+41:57:39,+002:37:52, 150
11013,BANYOLES                                ,ES,+42:06:59,+002:47:23, 176
11014,BARCELONA-EL RAVAL                      ,ES,+41:23:02,+002:10:03,  33
11015,BARCELONA-ZONA UNIVERSITARIA            ,ES,+41:22:45,+002:06:19,  79
11016,BENISSANET                              ,ES,+41:03:46,+000:38:06,  32
11017,BOI                                     ,ES,+42:27:58,+000:53:03,2535
11018,BONAIGUA                                ,ES,+42:38:49,+000:59:05,2266
11019,CABRILS                                 ,ES,+41:31:04,+002:22:37,  81
11020,CADI NORD-PRAT DAGUILO                  ,ES,+42:17:33,+001:42:54,2143
