EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1396,908053,PONFERRADA                              ,ES,+42:34:00,-006:36:00, 550, TN6,19820303,20200229,     ,                    
 3942,120236,LLEIDA                                  ,ES,+41:37:33,+000:35:42, 192, TN3,19830201,20231031,   31,Roser Botey Fullat                                
 3942,120245,LLEIDA (OBSERVATORIO)                   ,ES,+41:37:07,+000:37:19, 191, TN3,19590601,19830131,   31,Roser Botey Fullat                                
 3942,155292,LLEIDA (OBSERVATORIO)                   ,ES,+41:37:07,+000:37:19, 191, TN3,19590601,19830131,   63,Marc Prohom                                       
 3942,155306,LLEIDA-AJUNTAMENT                       ,ES,+41:36:59,+000:35:00, 169, TN3,19470901,19590531,   63,Marc Prohom                                       
 3942,908171,LLEIDA                                  ,ES,+41:38:00,+000:36:00, 199, TN6,19820303,20200229,     ,                    
 3943,120236,LLEIDA                                  ,ES,+41:37:33,+000:35:42, 192, TN3,19830201,20231031,   31,Roser Botey Fullat                                
 3943,120245,LLEIDA (OBSERVATORIO)                   ,ES,+41:37:07,+000:37:19, 191, TN3,19590601,19830131,   31,Roser Botey Fullat                                
 3943,155292,LLEIDA (OBSERVATORIO)                   ,ES,+41:37:07,+000:37:19, 191, TN3,19590601,19830131,   63,Marc Prohom                                       
 3943,155306,LLEIDA-AJUNTAMENT                       ,ES,+41:36:59,+000:35:00, 169, TN3,19470901,19590531,   63,Marc Prohom                                       
 3943,908171,LLEIDA                                  ,ES,+41:38:00,+000:36:00, 199, TN6,19820303,20200229,     ,                    
 3944,120254,LUGO/ROZAS                              ,ES,+43:06:55,-007:27:22, 445, TN3,19850501,20231031,   31,Roser Botey Fullat                                
 3944,908008,LUGO/ROZAS                              ,ES,+43:07:00,-007:27:00, 446, TN6,19820121,20200229,     ,                    
 3945,120263,COLMENAR VIEJO/FAMET                    ,ES,+40:41:55,-003:45:52,1004, TN3,19780101,20231031,   31,Roser Botey Fullat                                
 3946,119225,MADRID/TORREJON                         ,ES,+40:29:00,-003:27:01, 611, TN1,19571001,19671231,   50,GHCND                                             
 3946,120272,MADRID/BARAJAS                          ,ES,+40:28:00,-003:33:20, 609, TN3,19450101,20231031,   31,Roser Botey Fullat                                
 3946,120299,MADRID/TORREJON                         ,ES,+40:29:00,-003:27:01, 611, TN3,19610101,20231031,   31,Roser Botey Fullat                                
 3947,100998,MADRID - RETIRO                         ,ES,+40:24:43,-003:40:41, 667, TN3,19200101,20231031,   31,Roser Botey Fullat                                
 3947,120281,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21, 687, TN3,19450501,20231031,   31,Roser Botey Fullat                                
 3948,120290,MADRID/GETAFE                           ,ES,+40:18:00,-003:43:21, 617, TN3,19510101,20231031,   31,Roser Botey Fullat                                
 1389,120308,MELILLA                                 ,ES,+35:16:40,-002:57:19,  47, TN3,19700901,20231031,   31,Roser Botey Fullat                                
 1389,960338,MELILLA                                 ,ES,+35:17:00,-002:57:00,  55, TN6,19820303,20200229,     ,                    
  421,120317,MURCIA                                  ,ES,+38:00:10,-001:10:10,  61, TN3,19840401,20231031,   31,Roser Botey Fullat                                
  421,120326,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:47,  85, TN3,19400101,20231031,   31,Roser Botey Fullat                                
 3949,120326,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:47,  85, TN3,19400101,20231031,   31,Roser Botey Fullat                                
 1404,120335,MURCIA/SAN JAVIER                       ,ES,+37:47:20,-000:48:12,   4, TN3,19451101,20231031,   31,Roser Botey Fullat                                
 1404,908433,MURCIA/SAN JAVIER                       ,ES,+37:47:00,-000:48:00,   3, TN6,19820130,20200229,     ,                    
 3950,120344,PAMPLONA (OBSERVATORIO)                 ,ES,+42:49:03,-001:38:11, 442, TN3,19530901,20231031,   31,Roser Botey Fullat                                
 3950,120353,PAMPLONA                                ,ES,+42:46:37,-001:39:00, 459, TN3,19750101,20231031,   31,Roser Botey Fullat                                
 3950,908085,PAMPLONA/NOAIN                          ,ES,+42:46:00,-001:38:00, 453, TN6,19820303,20200229,     ,                    
  422,120344,PAMPLONA (OBSERVATORIO)                 ,ES,+42:49:03,-001:38:11, 442, TN3,19530901,20231031,   31,Roser Botey Fullat                                
